Sale Key,WWI Invoice ID,Invoice Date,Delivery Date,Delivery Status,Year,Quarter,Month,Month Name,Year Month,Day Of Week,City Key,Customer Key,Bill To Customer Key,Salesperson Key,Stock Item Key,Description,Product Category,Package,Quantity,Unit Price,Sales Excl Tax,Tax Rate,Tax Amount,Sales Incl Tax,Profit,Total Dry Items,Total Chiller Items,High Value Order Flag,Lineage Key
54829,16878,2013-11-23,2013-11-24,Delivered,2013,4,11,Nov,2013-11,Saturday,48851,0,0,39,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
55579,17112,2013-11-28,2013-11-29,Delivered,2013,4,11,Nov,2013-11,Thursday,47692,0,0,19,199,DBA joke mug - you might be a DBA if (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
58277,17953,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,72761,0,0,93,202,DBA joke mug - daaaaaa-ta (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
58278,17953,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,72761,0,0,93,186,Developer joke mug - fun was unexpected at this time (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
58476,18016,2013-12-17,2013-12-18,Delivered,2013,4,12,Dec,2013-12,Tuesday,47692,0,0,39,172,Developer joke mug - this code was generated by a tool (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
60167,18531,2013-12-27,2013-12-28,Delivered,2013,4,12,Dec,2013-12,Friday,47692,0,0,90,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
60848,18731,2013-12-31,2014-01-01,Delivered,2013,4,12,Dec,2013-12,Tuesday,41568,0,0,94,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,5,13.0,65.0,15,9.75,74.75,42.5,5,0,False,11
49833,15359,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,87481,0,0,85,170,Developer joke mug - old C developers never die (White),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
52836,16273,2013-11-13,2013-11-14,Delivered,2013,4,11,Nov,2013-11,Wednesday,48937,0,0,83,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
52849,16277,2013-11-13,2013-11-14,Delivered,2013,4,11,Nov,2013-11,Wednesday,48851,0,0,91,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
53758,16553,2013-11-18,2013-11-19,Delivered,2013,4,11,Nov,2013-11,Monday,47741,0,0,81,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
55417,17058,2013-11-26,2013-11-27,Delivered,2013,4,11,Nov,2013-11,Tuesday,48763,0,0,90,172,Developer joke mug - this code was generated by a tool (White),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
55991,17238,2013-11-29,2013-11-30,Delivered,2013,4,11,Nov,2013-11,Friday,72761,0,0,93,201,DBA joke mug - daaaaaa-ta (Black),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
56108,17277,2013-12-02,2013-12-03,Delivered,2013,4,12,Dec,2013-12,Monday,91464,0,0,91,192,DBA joke mug - two types of DBAs (White),Novelty Mugs,Each,2,13.0,26.0,15,3.9,29.9,17.0,2,0,False,11
49397,15226,2013-10-22,2013-10-23,Delivered,2013,4,10,Oct,2013-10,Tuesday,66176,0,0,39,163,IT joke mug - hardware: part of the computer that can be kicked (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
49600,15289,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,77092,0,0,39,186,Developer joke mug - fun was unexpected at this time (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
49622,15295,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,87481,0,0,19,190,Developer joke mug - Oct 31 = Dec 25 (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
50097,15437,2013-10-25,2013-10-26,Delivered,2013,4,10,Oct,2013-10,Friday,91464,0,0,83,182,Developer joke mug - inheritance is the OO way to become wealthy (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
50378,15525,2013-10-28,2013-10-29,Delivered,2013,4,10,Oct,2013-10,Monday,91464,0,0,70,179,"Developer joke mug - (hip, hip, array) (Black)",Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
51874,15992,2013-11-06,2013-11-07,Delivered,2013,4,11,Nov,2013-11,Wednesday,91464,0,0,83,176,Developer joke mug - there are 10 types of people in the world (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
52058,16049,2013-11-07,2013-11-08,Delivered,2013,4,11,Nov,2013-11,Thursday,48763,0,0,83,195,DBA joke mug - I will get you in order (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
52227,16100,2013-11-08,2013-11-09,Delivered,2013,4,11,Nov,2013-11,Friday,47741,0,0,74,187,Developer joke mug - that's a hardware problem (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
52992,16317,2013-11-13,2013-11-14,Delivered,2013,4,11,Nov,2013-11,Wednesday,47692,0,0,86,172,Developer joke mug - this code was generated by a tool (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
53466,16464,2013-11-15,2013-11-16,Delivered,2013,4,11,Nov,2013-11,Friday,72709,0,0,91,199,DBA joke mug - you might be a DBA if (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
54832,16879,2013-11-23,2013-11-24,Delivered,2013,4,11,Nov,2013-11,Saturday,48762,0,0,39,173,Developer joke mug - a foo walks into a bar (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
55581,17112,2013-11-28,2013-11-29,Delivered,2013,4,11,Nov,2013-11,Thursday,47692,0,0,19,200,DBA joke mug - you might be a DBA if (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
56653,17443,2013-12-04,2013-12-05,Delivered,2013,4,12,Dec,2013-12,Wednesday,72709,0,0,96,175,Developer joke mug - there are 10 types of people in the world (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
57042,17564,2013-12-06,2013-12-07,Delivered,2013,4,12,Dec,2013-12,Friday,76936,0,0,86,164,IT joke mug - hardware: part of the computer that can be kicked (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
58477,18016,2013-12-17,2013-12-18,Delivered,2013,4,12,Dec,2013-12,Tuesday,47692,0,0,39,176,Developer joke mug - there are 10 types of people in the world (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
59567,18349,2013-12-24,2013-12-25,Delivered,2013,4,12,Dec,2013-12,Tuesday,87481,0,0,94,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
60326,18576,2013-12-27,2013-12-28,Delivered,2013,4,12,Dec,2013-12,Friday,89925,0,0,93,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,10,13.0,130.0,15,19.5,149.5,85.0,10,0,False,11
49811,15352,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,76936,0,0,39,166,IT joke mug - that behavior is by design (White),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
53831,16574,2013-11-18,2013-11-19,Delivered,2013,4,11,Nov,2013-11,Monday,48762,0,0,91,176,Developer joke mug - there are 10 types of people in the world (White),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
56050,17257,2013-11-30,2013-12-01,Delivered,2013,4,11,Nov,2013-11,Saturday,66176,0,0,83,175,Developer joke mug - there are 10 types of people in the world (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
56412,17371,2013-12-03,2013-12-04,Delivered,2013,4,12,Dec,2013-12,Tuesday,48762,0,0,19,171,Developer joke mug - this code was generated by a tool (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
57663,17755,2013-12-10,2013-12-11,Delivered,2013,4,12,Dec,2013-12,Tuesday,48763,0,0,90,175,Developer joke mug - there are 10 types of people in the world (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
58270,17951,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,72709,0,0,83,182,Developer joke mug - inheritance is the OO way to become wealthy (White),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
58303,17961,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,76936,0,0,91,187,Developer joke mug - that's a hardware problem (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
58833,18129,2013-12-19,2013-12-20,Delivered,2013,4,12,Dec,2013-12,Thursday,48762,0,0,39,163,IT joke mug - hardware: part of the computer that can be kicked (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
59581,18352,2013-12-24,2013-12-25,Delivered,2013,4,12,Dec,2013-12,Tuesday,41568,0,0,83,171,Developer joke mug - this code was generated by a tool (Black),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
60633,18667,2013-12-30,2013-12-31,Delivered,2013,4,12,Dec,2013-12,Monday,47757,0,0,83,202,DBA joke mug - daaaaaa-ta (White),Novelty Mugs,Each,9,13.0,117.0,15,17.55,134.55,76.5,9,0,False,11
49532,15267,2013-10-23,2013-10-24,Delivered,2013,4,10,Oct,2013-10,Wednesday,89925,0,0,85,192,DBA joke mug - two types of DBAs (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
49901,15380,2013-10-25,2013-10-26,Delivered,2013,4,10,Oct,2013-10,Friday,89925,0,0,84,194,DBA joke mug - SELECT caffeine FROM mug (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
50461,15551,2013-10-28,2013-10-29,Delivered,2013,4,10,Oct,2013-10,Monday,72125,0,0,81,204,DBA joke mug - mind if I join you? (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
51171,15773,2013-11-01,2013-11-02,Delivered,2013,4,11,Nov,2013-11,Friday,72894,0,0,74,198,DBA joke mug - it depends (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
52175,16085,2013-11-08,2013-11-09,Delivered,2013,4,11,Nov,2013-11,Friday,47741,0,0,86,188,Developer joke mug - that's a hardware problem (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
52415,16149,2013-11-09,2013-11-10,Delivered,2013,4,11,Nov,2013-11,Saturday,47134,0,0,39,179,"Developer joke mug - (hip, hip, array) (Black)",Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
53369,16433,2013-11-15,2013-11-16,Delivered,2013,4,11,Nov,2013-11,Friday,72125,0,0,91,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
55529,17096,2013-11-27,2013-11-28,Delivered,2013,4,11,Nov,2013-11,Wednesday,47741,0,0,74,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
57330,17651,2013-12-07,2013-12-08,Delivered,2013,4,12,Dec,2013-12,Saturday,87633,0,0,86,174,Developer joke mug - a foo walks into a bar (White),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
57659,17755,2013-12-10,2013-12-11,Delivered,2013,4,12,Dec,2013-12,Tuesday,48763,0,0,90,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
57922,17840,2013-12-12,2013-12-13,Delivered,2013,4,12,Dec,2013-12,Thursday,47855,0,0,81,191,DBA joke mug - two types of DBAs (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
57987,17862,2013-12-13,2013-12-14,Delivered,2013,4,12,Dec,2013-12,Friday,47757,0,0,39,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
58841,18131,2013-12-19,2013-12-20,Delivered,2013,4,12,Dec,2013-12,Thursday,44333,0,0,86,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
58854,18135,2013-12-19,2013-12-20,Delivered,2013,4,12,Dec,2013-12,Thursday,72610,0,0,81,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
59954,18463,2013-12-25,2013-12-26,Delivered,2013,4,12,Dec,2013-12,Wednesday,47757,0,0,81,187,Developer joke mug - that's a hardware problem (Black),Novelty Mugs,Each,7,13.0,91.0,15,13.65,104.65,59.5,7,0,False,11
51631,15919,2013-11-05,2013-11-06,Delivered,2013,4,11,Nov,2013-11,Tuesday,48763,0,0,39,198,DBA joke mug - it depends (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
51865,15990,2013-11-06,2013-11-07,Delivered,2013,4,11,Nov,2013-11,Wednesday,48762,0,0,91,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
52176,16085,2013-11-08,2013-11-09,Delivered,2013,4,11,Nov,2013-11,Friday,47741,0,0,86,194,DBA joke mug - SELECT caffeine FROM mug (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
52329,16128,2013-11-08,2013-11-09,Delivered,2013,4,11,Nov,2013-11,Friday,47855,0,0,90,174,Developer joke mug - a foo walks into a bar (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
57346,17658,2013-12-09,2013-12-10,Delivered,2013,4,12,Dec,2013-12,Monday,72646,0,0,94,173,Developer joke mug - a foo walks into a bar (Black),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
57515,17710,2013-12-09,2013-12-10,Delivered,2013,4,12,Dec,2013-12,Monday,41568,0,0,94,201,DBA joke mug - daaaaaa-ta (Black),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
57870,17823,2013-12-12,2013-12-13,Delivered,2013,4,12,Dec,2013-12,Thursday,91464,0,0,39,166,IT joke mug - that behavior is by design (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
59527,18339,2013-12-24,2013-12-25,Delivered,2013,4,12,Dec,2013-12,Tuesday,48763,0,0,86,191,DBA joke mug - two types of DBAs (Black),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
59953,18463,2013-12-25,2013-12-26,Delivered,2013,4,12,Dec,2013-12,Wednesday,47757,0,0,81,170,Developer joke mug - old C developers never die (White),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
60348,18582,2013-12-27,2013-12-28,Delivered,2013,4,12,Dec,2013-12,Friday,72610,0,0,97,187,Developer joke mug - that's a hardware problem (Black),Novelty Mugs,Each,4,13.0,52.0,15,7.8,59.8,34.0,4,0,False,11
49835,15359,2013-10-24,2013-10-25,Delivered,2013,4,10,Oct,2013-10,Thursday,87481,0,0,85,195,DBA joke mug - I will get you in order (Black),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
51289,15809,2013-11-01,2013-11-02,Delivered,2013,4,11,Nov,2013-11,Friday,48763,0,0,81,194,DBA joke mug - SELECT caffeine FROM mug (White),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
51866,15990,2013-11-06,2013-11-07,Delivered,2013,4,11,Nov,2013-11,Wednesday,48762,0,0,91,198,DBA joke mug - it depends (White),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
55118,16968,2013-11-25,2013-11-26,Delivered,2013,4,11,Nov,2013-11,Monday,72894,0,0,93,193,DBA joke mug - SELECT caffeine FROM mug (Black),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
55432,17067,2013-11-27,2013-11-28,Delivered,2013,4,11,Nov,2013-11,Wednesday,72646,0,0,91,168,IT joke mug - keyboard not found … press F1 to continue (White),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
57662,17755,2013-12-10,2013-12-11,Delivered,2013,4,12,Dec,2013-12,Tuesday,48763,0,0,90,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
58384,17986,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,87481,0,0,19,189,Developer joke mug - Oct 31 = Dec 25 (Black),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
60330,18576,2013-12-27,2013-12-28,Delivered,2013,4,12,Dec,2013-12,Friday,89925,0,0,93,181,Developer joke mug - inheritance is the OO way to become wealthy (Black),Novelty Mugs,Each,8,13.0,104.0,15,15.6,119.6,68.0,8,0,False,11
49373,15218,2013-10-22,2013-10-23,Delivered,2013,4,10,Oct,2013-10,Tuesday,48937,0,0,83,174,Developer joke mug - a foo walks into a bar (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
50916,15694,2013-10-30,2013-10-31,Delivered,2013,4,10,Oct,2013-10,Wednesday,72610,0,0,39,177,Developer joke mug - understanding recursion requires understanding recursion (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
54575,16798,2013-11-21,2013-11-22,Delivered,2013,4,11,Nov,2013-11,Thursday,47741,0,0,91,174,Developer joke mug - a foo walks into a bar (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
54739,16852,2013-11-22,2013-11-23,Delivered,2013,4,11,Nov,2013-11,Friday,48937,0,0,74,201,DBA joke mug - daaaaaa-ta (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
54761,16859,2013-11-22,2013-11-23,Delivered,2013,4,11,Nov,2013-11,Friday,87633,0,0,84,184,Developer joke mug - when your hammer is C++ (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
55120,16968,2013-11-25,2013-11-26,Delivered,2013,4,11,Nov,2013-11,Monday,72894,0,0,93,196,DBA joke mug - I will get you in order (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
55827,17188,2013-11-28,2013-11-29,Delivered,2013,4,11,Nov,2013-11,Thursday,72646,0,0,90,196,DBA joke mug - I will get you in order (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
56107,17277,2013-12-02,2013-12-03,Delivered,2013,4,12,Dec,2013-12,Monday,91464,0,0,91,167,IT joke mug - keyboard not found … press F1 to continue (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
57714,17770,2013-12-10,2013-12-11,Delivered,2013,4,12,Dec,2013-12,Tuesday,47741,0,0,91,176,Developer joke mug - there are 10 types of people in the world (White),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
57983,17861,2013-12-13,2013-12-14,Delivered,2013,4,12,Dec,2013-12,Friday,89925,0,0,93,181,Developer joke mug - inheritance is the OO way to become wealthy (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
58293,17957,2013-12-16,2013-12-17,Delivered,2013,4,12,Dec,2013-12,Monday,47757,0,0,90,199,DBA joke mug - you might be a DBA if (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
59564,18349,2013-12-24,2013-12-25,Delivered,2013,4,12,Dec,2013-12,Tuesday,87481,0,0,94,195,DBA joke mug - I will get you in order (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
60630,18667,2013-12-30,2013-12-31,Delivered,2013,4,12,Dec,2013-12,Monday,47757,0,0,83,187,Developer joke mug - that's a hardware problem (Black),Novelty Mugs,Each,3,13.0,39.0,15,5.85,44.85,25.5,3,0,False,11
51466,15867,2013-11-04,2013-11-05,Delivered,2013,4,11,Nov,2013-11,Monday,48851,0,0,81,197,DBA joke mug - it depends (Black),Novelty Mugs,Each,1,13.0,13.0,15,1.95,14.95,8.5,1,0,False,11
54806,16873,2013-11-22,2013-11-23,Delivered,2013,4,11,Nov,2013-11,Friday,72709,0,0,89,166,IT joke mug - that behavior is by design (White),Novelty Mugs,Each,1,13.0,13.0,15,1.95,14.95,8.5,1,0,False,11
57044,17564,2013-12-06,2013-12-07,Delivered,2013,4,12,Dec,2013-12,Friday,76936,0,0,86,165,IT joke mug - that behavior is by design (Black),Novelty Mugs,Each,1,13.0,13.0,15,1.95,14.95,8.5,1,0,False,11
